City / Place,Accident Type,Number of Accidents,People Killed
Mookandapalli,roadway,1,0
Hosur,roadway,1,0
Hosur Dinakaran,roadway,1,0
Sibgat,roadway,1,0
Thirumudiwak,roadway,1,0
Karur,roadway,1,0
Vellore,roadway,1,0
South Korean,roadway,1,10
Kummidipoondi Chipgad,roadway,1,0
Amparai,roadway,1,0
Vallam Chipgat,roadway,1,0
Sriperumbudur,roadway,1,0
Katuvana Industrial,roadway,1,0
Kangesanthurai,roadway,1,0
Eenadu,old structure collapse,1,0
Visakhapatnam,old structure collapse,1,1
Khammam,old structure collapse,1,0
Venezuela,old structure collapse,1,0
Sangareddy,roadway,1,7
Guntur,roadway,1,0
Bachupally,roadway,1,3
Bachupalli,roadway,1,3
Eenadu Crime,roadway,1,3
Janagama,roadway,1,2
Rajahmundry,roadway,1,0
Eluru,roadway,1,0
Vietnam,roadway,1,7
Devarapalli,roadway,1,0
Prakasam,roadway,1,0
Nizamabad,roadway,1,0
Chilukur,roadway,1,0
Eenadu,train,1,0
Eenadu Train,train,1,0
Gudihatnur,roadway,1,0
Assam,others,1,6
Medchal Industrial,others,1,0
Rajamahendravaram,others,1,0
Peerumet,old structure collapse,1,0
Thiruvananthapuram,old structure collapse,1,0
Attakulangara,old structure collapse,1,0
Kannur,old structure collapse,1,0
Thrissur,old structure collapse,1,0
Peta Tikva,old structure collapse,1,0
Pathanamthitta,old structure collapse,1,6
Alappuzha,roadway,1,0
Ayur,roadway,1,0
Tanur Nakkava,roadway,1,0
Thiruvananthapuram,pedestrian,1,0
Koothatkulam,roadway,1,0
Pallikunni,roadway,1,0
Malappuram,train,1,0
Thrissur,roadway,1,0
Kuttipuram,roadway,1,1
Kuttyadichura,roadway,1,0
Mangalam,roadway,1,0
Parbhani,old structure collapse,1,5
Madhya Pradesh,old structure collapse,1,1
Pratapgarh,old structure collapse,1,6
Anand,old structure collapse,1,0
Philippines,old structure collapse,1,0
Dhar,roadway,1,12
Firozabad,roadway,1,1
Katni,roadway,1,3
Horrific Road,roadway,1,9
Anand,roadway,1,0
Amreli,train,1,0
Jamnagar,roadway,1,0
Rajkot,roadway,1,0
Gondal,roadway,1,0
Barmer,roadway,1,5
Bardoli,roadway,1,5
Nawalpur,roadway,1,0
Aravalli,roadway,1,0
Ludhiana,train,1,0
Bajana Railway,roadway,1,0
Jetpur,roadway,1,0
Gujarat,train,1,0
Rajkot,train,1,0
Dahod,roadway,1,0
Himmatnagar,others,1,0
Sabarkantha,others,1,0
Pipodara,others,1,0
Amritsar,old structure collapse,1,0
Punjab,old structure collapse,1,0
Karachi,old structure collapse,1,16
Chandigarh,old structure collapse,1,0
Bathinda,old structure collapse,1,1
Derabassi,roadway,1,0
Batala,roadway,1,0
Gurdaspur,roadway,1,4
Mansa,roadway,1,2
Patna,roadway,1,0
Begusarai,roadway,1,1
Kullu,roadway,1,2
Chicago,roadway,1,0
Chicago Punjabi,roadway,1,0
Moonak,roadway,1,1
Chamoli,roadway,1,4
Hanumangarh,roadway,1,5
Rotary Chowk,roadway,1,3
Jalandhar,train,1,0
Ajmer,roadway,1,3
Bathinda,roadway,1,0
Panchkula,roadway,1,0
Fatehgarh Sahib,roadway,1,8
Rajouri,roadway,1,0
Yamunanagar,others,1,0
Warangal,roadway,1,0
Bengaluru,industrial,1,0
Mysuru,industrial,1,0
Haridwar,roadway,1,3
Chandigarh,train,1,4
Dibrugarh,train,1,4
Deoghar,roadway,1,0
Ujjain,roadway,1,0
Supaul,roadway,1,0
Banda,train,1,0
Muzaffarpur,roadway,1,0
Bahraich,roadway,1,0
Chittorgarh,port maritime,1,2
Pathankot,train,1,10
Basti,train,1,1
Fatehpur,train,1,2
Chamoli,train,1,10
Uttarakhand,train,1,10
Pilibhit,train,1,0
Surat,train,1,0
Odisha,aviation,1,0
Chhattisgarh,aviation,1,0
Jalpaiguri,roadway,1,0
Thane,old structure collapse,1,0
Ulhasnagar,old structure collapse,1,0
Latur,roadway,1,0
Beed,roadway,1,0
Kalyan,roadway,1,3
Navi Mumbai,roadway,1,0
Thane,roadway,1,0
Satara,roadway,1,0
Ranchi,industrial,1,0
Mumbai,port maritime,1,0
Mysore,roadway,1,4
Puducherry,roadway,1,0
Telangana,old structure collapse,1,0
Malappuram,construction ongoing,1,0
Kozhikode,roadway,1,2
Kochi,aviation,1,0
Bhavnagar,old structure collapse,1,0
Solan,old structure collapse,1,30
Uttarakhand,old structure collapse,1,5
Ankleshwar,roadway,1,2
Navsari,port maritime,1,0
Jalandhar,others,1,0
Uttar Pradesh,industrial,1,0
Palakkad,train,1,0
Noida,roadway,1,0
Hapur,others,1,1
Kishtwar,others,1,5
Saharanpur,others,1,0
Thane,others,1,2
Separate Road,others,1,2
Mau,roadway,1,3
Supreme Court,others,1,0
Vizag,others,1,9
Bryans Road,others,1,46
Charles County,others,1,0
Haryana,others,1,0
Mangaluru,others,1,0
Adel,others,1,0
Rohtak,others,1,10
Farrukhabad,others,1,0
Kannauj,others,1,0
Rajouri,others,1,2
Sambhal,roadway,1,0
Meerut,roadway,1,0
Salt Lake,others,1,0
Shyampur,others,1,0
Howrah,others,1,0
Navi Mumbai,others,1,2
Latur,others,1,3
Palghar,others,1,1
Baramati,others,1,0
Bhandup,others,1,0
Bhandup    Loksatta,others,1,0
Raigad,others,1,0
Bhandara,others,1,0
Tembhurni,others,1,0
Thiruvottiyur,others,1,0
Gangaim,others,1,1
Srivilliputhur,others,1,3
Villupuram,others,1,3
Villupuram Hindu,others,1,3
Mannargudi,others,1,3
Mannargudi Hindu,others,1,3
Perambalur,others,1,3
Thitakkudi,roadway,1,3
Sathyamangalam,roadway,1,4
Chipgat,others,1,0
Ranipet Chipgat,others,1,0
Thoothukudi,others,1,0
Kakkalur Chipgat,others,1,3
Kadiri,others,1,6
Korutla,roadway,1,0
Uttar Pradesh,others,1,0
Achyutapuram Pharma,others,1,17
Tata,others,1,0
Achyutapuram,others,1,17
Renigunta,others,1,0
Visakha District,others,1,1
Kakinada,others,1,2
Nandyala,others,1,1
Kannur,others,1,4
Wayanad,others,1,69
Bitati,others,1,0
Bidati,others,1,0
Madhya Pradesh,port maritime,1,12
Mundathikode Fireworks,others,1,0
Kottayam,construction ongoing,1,0
Dahod,others,1,1
Jodhpur,others,1,15
Morbi,others,1,4
Mehsana,roadway,1,0
Jodhpur,roadway,1,0
Sirmaur,roadway,1,14
Vadodara,others,1,2
Unad,roadway,1,0
Vadnagar,roadway,1,0
Surat,others,1,0
Diu,others,1,0
Surendranagar,others,1,0
Mosali Char,others,1,0
Panoli,others,1,30
Bathinda,others,1,4
Dalhousie,others,1,3
Bhogpur,others,1,0
Mathura,others,1,0
Batala,others,1,0
Khanna,others,1,0
Gandhidham,others,1,0
Puri,others,1,0
Vellore,others,1,0
